
ysp,#genre#

CCTV1,https://itv.1920.qzz.io/api/ysp.php?id=cctv1
CCTV2,https://itv.1920.qzz.io/api/ysp.php?id=cctv2
CCTV3,https://itv.1920.qzz.io/api/ysp.php?id=cctv3
CCTV4,https://itv.1920.qzz.io/api/ysp.php?id=cctv4
CCTV5,https://itv.1920.qzz.io/api/ysp.php?id=cctv5
CCTV5+,https://itv.1920.qzz.io/api/ysp.php?id=cctv5p
CCTV6,https://itv.1920.qzz.io/api/ysp.php?id=cctv6
CCTV7,https://itv.1920.qzz.io/api/ysp.php?id=cctv7
CCTV8,https://itv.1920.qzz.io/api/ysp.php?id=cctv8
CCTV9,https://itv.1920.qzz.io/api/ysp.php?id=cctv9
CCTV10,https://itv.1920.qzz.io/api/ysp.php?id=cctv10
CCTV11,https://itv.1920.qzz.io/api/ysp.php?id=cctv11
CCTV12,https://itv.1920.qzz.io/api/ysp.php?id=cctv12
CCTV13,https://itv.1920.qzz.io/api/ysp.php?id=cctv13
CCTV14,https://itv.1920.qzz.io/api/ysp.php?id=cctv14
CCTV15,https://itv.1920.qzz.io/api/ysp.php?id=cctv15
CCTV16,https://itv.1920.qzz.io/api/ysp.php?id=cctv16
CCTV16(4K),https://itv.1920.qzz.io/api/ysp.php?id=cctv164k
CCTV17,https://itv.1920.qzz.io/api/ysp.php?id=cctv17
CCTV4K,https://itv.1920.qzz.io/api/ysp.php?id=cctv4k
CCTV8K,https://itv.1920.qzz.io/api/ysp.php?id=cctv8k
CGTN,https://itv.1920.qzz.io/api/ysp.php?id=cgtn
CGTN法语,https://itv.1920.qzz.io/api/ysp.php?id=cgtnfy
CGTN俄语,https://itv.1920.qzz.io/api/ysp.php?id=cgtney
CGTN阿拉伯语,https://itv.1920.qzz.io/api/ysp.php?id=cgtnalby
CGTN西班牙语,https://itv.1920.qzz.io/api/ysp.php?id=cgtnxby
CGTN外语纪录,https://itv.1920.qzz.io/api/ysp.php?id=cgtnwyjl
CCTV风云剧场,https://itv.1920.qzz.io/api/ysp.php?id=cctvfyjc
CCTV第一剧场,https://itv.1920.qzz.io/api/ysp.php?id=cctvdyjc
CCTV怀旧剧场,https://itv.1920.qzz.io/api/ysp.php?id=cctvhjjc
CCTV世界地理,https://itv.1920.qzz.io/api/ysp.php?id=cctvsjdl
CCTV风云音乐,https://itv.1920.qzz.io/api/ysp.php?id=cctvfyyy
CCTV兵器科技,https://itv.1920.qzz.io/api/ysp.php?id=cctvbqkj
CCTV风云足球,https://itv.1920.qzz.io/api/ysp.php?id=cctvfyzq
CCTV高尔夫·网球,https://itv.1920.qzz.io/api/ysp.php?id=cctvgeqwq
CCTV女性时尚,https://itv.1920.qzz.io/api/ysp.php?id=cctvnxss
CCTV央视文化精品,https://itv.1920.qzz.io/api/ysp.php?id=cctvyswhjp
CCTV央视台球,https://itv.1920.qzz.io/api/ysp.php?id=cctvystq
CCTV电视指南,https://itv.1920.qzz.io/api/ysp.php?id=cctvdszn
CCTV卫生健康,https://itv.1920.qzz.io/api/ysp.php?id=cctvwsjk
北京卫视,https://itv.1920.qzz.io/api/ysp.php?id=bjws
江苏卫视,https://itv.1920.qzz.io/api/ysp.php?id=jsws
东方卫视,https://itv.1920.qzz.io/api/ysp.php?id=dfws
浙江卫视,https://itv.1920.qzz.io/api/ysp.php?id=zjws
湖南卫视,https://itv.1920.qzz.io/api/ysp.php?id=hnws
湖北卫视,https://itv.1920.qzz.io/api/ysp.php?id=hbws
广东卫视,https://itv.1920.qzz.io/api/ysp.php?id=gdws
广西卫视,https://itv.1920.qzz.io/api/ysp.php?id=gxws
黑龙江卫视,https://itv.1920.qzz.io/api/ysp.php?id=hljws
海南卫视,https://itv.1920.qzz.io/api/ysp.php?id=hnws2
重庆卫视,https://itv.1920.qzz.io/api/ysp.php?id=cqws
深圳卫视,https://itv.1920.qzz.io/api/ysp.php?id=szws
四川卫视,https://itv.1920.qzz.io/api/ysp.php?id=scws
河南卫视,https://itv.1920.qzz.io/api/ysp.php?id=henanws
福建东南卫视,https://itv.1920.qzz.io/api/ysp.php?id=fjdnhz
贵州卫视,https://itv.1920.qzz.io/api/ysp.php?id=gzhws
江西卫视,https://itv.1920.qzz.io/api/ysp.php?id=jxws
辽宁卫视,https://itv.1920.qzz.io/api/ysp.php?id=lnws
安徽卫视,https://itv.1920.qzz.io/api/ysp.php?id=ahws
河北卫视,https://itv.1920.qzz.io/api/ysp.php?id=hbws2
山东卫视,https://itv.1920.qzz.io/api/ysp.php?id=sdws
天津卫视,https://itv.1920.qzz.io/api/ysp.php?id=tjws
吉林卫视,https://itv.1920.qzz.io/api/ysp.php?id=jlws
陕西卫视,https://itv.1920.qzz.io/api/ysp.php?id=shanxiws
宁夏卫视,https://itv.1920.qzz.io/api/ysp.php?id=nxws
内蒙古卫视,https://itv.1920.qzz.io/api/ysp.php?id=nmgws
云南卫视,https://itv.1920.qzz.io/api/ysp.php?id=ynws
山西卫视,https://itv.1920.qzz.io/api/ysp.php?id=shanxiws2
青海卫视,https://itv.1920.qzz.io/api/ysp.php?id=qhws
西藏卫视,https://itv.1920.qzz.io/api/ysp.php?id=xzws
中国教育电视台1,https://itv.1920.qzz.io/api/ysp.php?id=cetv1
新疆卫视,https://itv.1920.qzz.io/api/ysp.php?id=xjws

